account_id,customer_id,account_type,opening_date,status,credit_limit_eur,interest_rate_pct,opening_balance_eur
A000001,C00001,Current Account,2026-02-15,Active,0,0.0,4786.56
A000002,C00002,Current Account,2025-05-26,Active,0,0.0,1662.38
A000003,C00002,Credit Card,2025-04-29,Closed,5100,19.99,-1106.79
A000004,C00003,Current Account,2022-03-12,Active,0,0.0,1342.77
A000005,C00003,Savings Account,2025-01-11,Active,0,1.2,15205.65
A000006,C00003,Credit Card,2022-03-30,Active,5000,19.92,-975.34
A000007,C00004,Savings Account,2020-08-16,Active,0,0.83,14480.35
A000008,C00004,Credit Card,2022-07-23,Active,4600,15.82,-633.61
A000009,C00005,Current Account,2026-01-23,Closed,0,0.0,3511.73
A000010,C00005,Savings Account,2026-07-25,Active,0,1.13,27404.94
A000011,C00006,Current Account,2026-01-01,Active,0,0.0,2543.73
A000012,C00006,Savings Account,2023-07-25,Dormant,0,1.06,8857.86
A000013,C00007,Current Account,2024-08-12,Active,0,0.0,2896.0
A000014,C00008,Current Account,2025-10-01,Active,0,0.0,3522.1
A000015,C00008,Savings Account,2023-07-07,Active,0,1.66,6988.77
A000016,C00009,Current Account,2023-11-02,Active,0,0.0,3968.26
A000017,C00010,Current Account,2026-07-21,Active,0,0.0,2824.91
A000018,C00010,Savings Account,2026-07-27,Active,0,1.51,17954.57
A000019,C00011,Current Account,2025-11-14,Active,0,0.0,4016.3
A000020,C00012,Current Account,2025-08-03,Active,0,0.0,2031.82
A000021,C00013,Current Account,2025-06-11,Active,0,0.0,847.77
A000022,C00013,Savings Account,2024-10-12,Active,0,1.99,16129.92
A000023,C00014,Current Account,2024-11-28,Active,0,0.0,-500
A000024,C00015,Current Account,2022-11-07,Active,0,0.0,1464.31
A000025,C00016,Current Account,2025-02-05,Active,0,0.0,4362.81
A000026,C00017,Current Account,2024-03-06,Closed,0,0.0,4268.29
A000027,C00017,Savings Account,2025-02-27,Active,0,1.64,0
A000028,C00017,Credit Card,2025-03-11,Active,5400,17.02,-560.98
A000029,C00018,Savings Account,2026-05-25,Active,0,0.93,0
A000030,C00018,Current Account,2024-09-09,Active,0,0.0,2578.6
A000031,C00018,Credit Card,2023-08-09,Active,15000,20.68,-2394.6
A000032,C00019,Current Account,2024-07-08,Active,0,0.0,2132.59
A000033,C00020,Current Account,2022-09-13,Active,0,0.0,461.33
A000034,C00020,Savings Account,2024-10-04,Active,0,2.04,21585.87
A000035,C00021,Savings Account,2025-04-29,Active,0,0.8,9679.91
A000036,C00021,Current Account,2025-01-14,Active,0,0.0,1281.18
A000037,C00021,Credit Card,2025-11-04,Active,7100,21.19,-2894.9
A000038,C00022,Current Account,2025-08-01,Active,0,0.0,2968.92
A000039,C00022,Savings Account,2023-02-23,Active,0,1.66,10669.26
A000040,C00023,Current Account,2022-11-23,Active,0,0.0,4214.41
A000041,C00023,Credit Card,2020-09-03,Active,4000,18.77,-854.54
A000042,C00024,Current Account,2026-05-22,Active,0,0.0,2117.93
A000043,C00025,Current Account,2026-04-24,Dormant,0,0.0,2949.61
A000044,C00026,Savings Account,2023-11-12,Active,0,1.79,13264.85
A000045,C00026,Current Account,2022-01-06,Active,0,0.0,8397.17
A000046,C00026,Credit Card,2023-06-12,Active,15000,16.76,-4635.02
A000047,C00027,Current Account,2024-08-31,Active,0,0.0,8874.22
A000048,C00028,Current Account,2025-04-04,Active,0,0.0,4959.97
A000049,C00029,Current Account,2026-07-19,Active,0,0.0,4302.93
A000050,C00030,Current Account,2026-06-09,Closed,0,0.0,1112.19
A000051,C00031,Current Account,2025-09-24,Active,0,0.0,1605.52
A000052,C00032,Current Account,2024-05-15,Active,0,0.0,-172.68
A000053,C00032,Savings Account,2024-05-12,Active,0,1.7,12937.5
A000054,C00032,Credit Card,2025-09-14,Active,8800,21.0,-2110.94
A000055,C00033,Current Account,2022-06-12,Active,0,0.0,4423.21
A000056,C00033,Savings Account,2024-04-24,Active,0,1.99,12532.08
A000057,C00034,Savings Account,2022-01-16,Dormant,0,2.04,18229.06
A000058,C00034,Current Account,2024-10-04,Active,0,0.0,1080.3
A000059,C00035,Current Account,2026-03-27,Active,0,0.0,2563.27
A000060,C00035,Savings Account,2021-09-01,Active,0,1.95,0
A000061,C00036,Savings Account,2022-09-07,Active,0,1.11,0
A000062,C00037,Savings Account,2022-06-30,Active,0,0.91,11364.57
A000063,C00037,Current Account,2023-07-04,Active,0,0.0,4593.27
A000064,C00038,Savings Account,2024-10-19,Active,0,1.04,17404.94
A000065,C00038,Current Account,2024-10-02,Active,0,0.0,1701.5
A000066,C00039,Savings Account,2023-07-03,Active,0,1.22,21514.1
A000067,C00039,Current Account,2023-05-03,Active,0,0.0,4862.15
A000068,C00040,Current Account,2020-05-16,Dormant,0,0.0,2425.56
A000069,C00041,Current Account,2026-03-20,Active,0,0.0,5897.61
A000070,C00042,Savings Account,2026-05-03,Active,0,2.09,11824.67
A000071,C00043,Current Account,2020-11-05,Active,0,0.0,5548.77
A000072,C00044,Current Account,2026-07-23,Active,0,0.0,1216.99
A000073,C00044,Savings Account,2026-02-21,Active,0,1.04,7048.03
A000074,C00044,Credit Card,2026-06-16,Active,3100,16.57,-190.54
A000075,C00045,Current Account,2026-04-07,Active,0,0.0,771.1
A000076,C00045,Savings Account,2026-08-01,Active,0,1.21,18148.6
A000077,C00046,Savings Account,2026-07-17,Active,0,2.03,6632.98
A000078,C00046,Current Account,2023-10-05,Active,0,0.0,971.16
A000079,C00046,Credit Card,2022-01-22,Active,2400,21.12,-870.58
A000080,C00047,Savings Account,2025-06-17,Dormant,0,1.35,16114.55
A000081,C00048,Current Account,2025-07-14,Active,0,0.0,3030.65
A000082,C00048,Savings Account,2022-09-16,Closed,0,0.82,4097.57
A000083,C00049,Current Account,2025-08-10,Active,0,0.0,5364.95
A000084,C00049,Savings Account,2024-07-08,Active,0,1.5,0
A000085,C00049,Credit Card,2022-01-14,Active,15000,18.62,-3577.76
A000086,C00050,Current Account,2026-06-10,Active,0,0.0,5667.29
A000087,C00051,Savings Account,2025-09-14,Active,0,1.78,30388.65
A000088,C00051,Current Account,2026-02-03,Dormant,0,0.0,2189.17
A000089,C00051,Credit Card,2025-08-18,Active,4200,21.54,-254.31
A000090,C00052,Current Account,2023-03-04,Active,0,0.0,1573.91
A000091,C00053,Savings Account,2024-01-07,Dormant,0,0.92,13110.76
A000092,C00053,Current Account,2023-04-02,Active,0,0.0,1057.02
A000093,C00054,Savings Account,2026-05-19,Active,0,1.49,6531.62
A000094,C00055,Savings Account,2025-09-23,Active,0,1.2,7196.41
A000095,C00056,Current Account,2024-08-24,Active,0,0.0,3261.19
A000096,C00056,Credit Card,2025-07-30,Active,8200,19.1,-1538.04
A000097,C00057,Current Account,2020-09-05,Dormant,0,0.0,9155.68
A000098,C00058,Current Account,2024-10-12,Active,0,0.0,3924.5
A000099,C00059,Savings Account,2026-07-03,Active,0,1.35,23437.85
A000100,C00059,Credit Card,2026-07-09,Active,11500,18.58,-1701.41
A000101,C00060,Current Account,2025-11-26,Active,0,0.0,1933.97
A000102,C00061,Current Account,2025-01-21,Active,0,0.0,1374.88
A000103,C00061,Savings Account,2022-07-13,Active,0,2.06,14889.21
A000104,C00061,Credit Card,2025-06-24,Active,13200,17.58,-4004.85
A000105,C00062,Current Account,2024-03-08,Active,0,0.0,-500
A000106,C00062,Savings Account,2025-02-23,Active,0,1.65,8161.45
A000107,C00062,Credit Card,2024-10-30,Active,7400,19.06,-2168.12
A000108,C00063,Current Account,2022-01-15,Active,0,0.0,3220.25
A000109,C00064,Current Account,2026-02-28,Active,0,0.0,3439.96
A000110,C00065,Savings Account,2021-02-07,Active,0,2.15,8508.62
A000111,C00065,Credit Card,2024-06-04,Active,6900,20.73,-2116.09
A000112,C00066,Current Account,2023-06-29,Active,0,0.0,4903.04
A000113,C00067,Current Account,2025-10-16,Active,0,0.0,1530.26
A000114,C00067,Savings Account,2026-01-05,Active,0,1.86,6100.13
A000115,C00068,Savings Account,2025-01-06,Active,0,1.71,6499.36
A000116,C00069,Current Account,2026-02-13,Active,0,0.0,2427.87
A000117,C00070,Savings Account,2024-02-18,Active,0,1.13,11791.98
A000118,C00070,Credit Card,2023-09-30,Dormant,4100,19.81,-333.01
A000119,C00071,Current Account,2020-11-19,Active,0,0.0,2756.13
A000120,C00071,Savings Account,2023-09-11,Active,0,1.28,8994.96
A000121,C00072,Current Account,2026-05-15,Active,0,0.0,5198.0
A000122,C00073,Current Account,2025-08-20,Active,0,0.0,4820.47
A000123,C00074,Current Account,2023-03-18,Active,0,0.0,2482.48
A000124,C00074,Credit Card,2024-02-15,Active,10000,15.79,-3398.53
A000125,C00075,Current Account,2022-04-07,Active,0,0.0,1647.2
A000126,C00075,Savings Account,2020-03-29,Active,0,2.11,4568.49
A000127,C00076,Current Account,2025-02-08,Active,0,0.0,6893.42
A000128,C00077,Savings Account,2026-01-23,Active,0,1.14,21209.0
A000129,C00077,Credit Card,2026-07-12,Active,9100,16.43,0
A000130,C00078,Current Account,2026-03-18,Active,0,0.0,2446.77
A000131,C00079,Current Account,2024-04-22,Active,0,0.0,3001.55
A000132,C00079,Credit Card,2023-05-24,Active,14900,20.03,-3501.25
A000133,C00080,Current Account,2025-01-03,Active,0,0.0,655.39
A000134,C00080,Savings Account,2024-07-06,Active,0,1.21,9211.82
A000135,C00081,Savings Account,2026-07-18,Active,0,2.13,0
A000136,C00082,Current Account,2023-03-05,Active,0,0.0,1581.19
A000137,C00082,Savings Account,2024-10-09,Active,0,1.78,3102.98
A000138,C00083,Current Account,2025-03-10,Active,0,0.0,3659.39
A000139,C00084,Current Account,2024-12-10,Active,0,0.0,4484.67
A000140,C00085,Current Account,2024-09-08,Active,0,0.0,2507.19
A000141,C00086,Current Account,2026-05-24,Active,0,0.0,1588.62
A000142,C00086,Savings Account,2023-12-02,Active,0,1.14,0
A000143,C00087,Savings Account,2026-05-25,Active,0,1.27,10006.64
A000144,C00088,Current Account,2026-04-19,Active,0,0.0,8085.99
A000145,C00088,Savings Account,2025-04-03,Active,0,1.06,17769.27
A000146,C00088,Credit Card,2025-10-23,Active,11900,20.8,-2907.35
A000147,C00089,Current Account,2024-03-07,Dormant,0,0.0,2041.63
A000148,C00090,Current Account,2026-02-01,Active,0,0.0,521.14
A000149,C00091,Savings Account,2025-12-30,Active,0,1.23,0
A000150,C00091,Current Account,2023-07-18,Active,0,0.0,2677.65
A000151,C00092,Current Account,2026-05-27,Active,0,0.0,5320.15
A000152,C00092,Credit Card,2026-05-08,Dormant,9600,16.16,-2042.1
A000153,C00093,Current Account,2021-09-26,Active,0,0.0,350.61
A000154,C00094,Current Account,2024-09-27,Active,0,0.0,1729.9
A000155,C00094,Savings Account,2024-10-11,Active,0,1.64,12667.58
A000156,C00095,Savings Account,2024-08-27,Active,0,0.82,1300.6
A000157,C00095,Current Account,2025-08-24,Active,0,0.0,8887.12
A000158,C00095,Credit Card,2024-02-02,Active,9400,16.96,-244.78
A000159,C00096,Current Account,2026-01-20,Active,0,0.0,2936.85
A000160,C00097,Current Account,2025-08-14,Active,0,0.0,5756.48
A000161,C00098,Current Account,2025-09-27,Active,0,0.0,1649.5
A000162,C00099,Current Account,2023-02-04,Active,0,0.0,39.93
A000163,C00099,Savings Account,2022-04-25,Dormant,0,1.82,4237.61
A000164,C00100,Current Account,2024-06-24,Active,0,0.0,4897.01
A000165,C00100,Savings Account,2024-11-22,Active,0,1.67,4366.84
A000166,C00100,Credit Card,2025-10-05,Active,3700,19.21,-618.63
A000167,C00101,Savings Account,2026-07-15,Active,0,1.61,6581.53
A000168,C00102,Current Account,2024-06-09,Active,0,0.0,3374.42
A000169,C00103,Savings Account,2023-11-05,Active,0,1.19,0
A000170,C00104,Current Account,2025-12-23,Active,0,0.0,1836.21
A000171,C00104,Savings Account,2025-11-16,Active,0,0.83,20001.32
A000172,C00105,Current Account,2025-03-04,Active,0,0.0,1038.58
A000173,C00106,Savings Account,2025-09-25,Active,0,1.15,38788.29
A000174,C00106,Current Account,2026-05-28,Active,0,0.0,1130.31
A000175,C00107,Current Account,2021-02-20,Active,0,0.0,3060.55
A000176,C00108,Savings Account,2023-07-17,Active,0,1.45,9882.21
A000177,C00108,Current Account,2022-08-16,Active,0,0.0,904.66
A000178,C00109,Current Account,2025-01-10,Active,0,0.0,3464.29
A000179,C00109,Savings Account,2025-11-27,Dormant,0,2.07,13128.29
A000180,C00110,Current Account,2026-04-29,Active,0,0.0,3129.3
A000181,C00111,Current Account,2022-12-28,Active,0,0.0,2913.0
A000182,C00111,Savings Account,2022-02-06,Active,0,1.13,17791.85
A000183,C00112,Current Account,2025-10-29,Active,0,0.0,3757.7
A000184,C00113,Current Account,2025-03-03,Active,0,0.0,-44.41
A000185,C00113,Credit Card,2024-11-20,Active,8600,19.48,-1964.21
A000186,C00114,Current Account,2026-01-19,Active,0,0.0,3466.49
A000187,C00115,Current Account,2025-04-24,Active,0,0.0,1937.33
A000188,C00116,Current Account,2025-02-08,Active,0,0.0,2512.08
A000189,C00117,Current Account,2020-05-10,Closed,0,0.0,2371.62
A000190,C00118,Current Account,2021-11-06,Active,0,0.0,1340.18
A000191,C00118,Savings Account,2022-10-15,Active,0,1.79,4490.89
A000192,C00119,Savings Account,2022-11-14,Active,0,1.88,18797.37
A000193,C00119,Credit Card,2024-09-29,Active,11100,20.03,-2640.6
A000194,C00120,Current Account,2024-03-16,Active,0,0.0,-400.3
A000195,C00121,Savings Account,2023-04-23,Active,0,1.57,7500.03
A000196,C00122,Current Account,2022-06-26,Closed,0,0.0,993.35
A000197,C00123,Savings Account,2024-06-12,Active,0,1.54,1320.33
A000198,C00124,Current Account,2021-04-03,Active,0,0.0,3483.0
A000199,C00125,Savings Account,2025-06-11,Active,0,2.01,26851.68
A000200,C00126,Current Account,2026-01-29,Active,0,0.0,3957.61
A000201,C00127,Current Account,2025-04-02,Active,0,0.0,2285.71
A000202,C00128,Current Account,2026-06-09,Active,0,0.0,2696.94
A000203,C00128,Credit Card,2026-06-20,Active,13600,15.76,0
A000204,C00129,Current Account,2025-03-08,Active,0,0.0,4534.35
A000205,C00129,Credit Card,2025-03-24,Active,6800,17.34,-176.9
A000206,C00130,Current Account,2026-05-06,Active,0,0.0,3317.42
A000207,C00130,Savings Account,2025-07-03,Active,0,1.44,6320.56
A000208,C00130,Credit Card,2025-10-20,Active,10700,18.3,-1873.0
A000209,C00131,Current Account,2024-01-30,Active,0,0.0,5943.17
A000210,C00132,Current Account,2021-01-31,Closed,0,0.0,5194.86
A000211,C00132,Savings Account,2020-11-13,Active,0,1.15,10065.46
A000212,C00133,Savings Account,2024-05-12,Active,0,1.28,13470.12
