customer_id,country,age_group,segment,annual_income_eur,risk_score,acquisition_channel,join_date,digital_active
C00001,France,45-54,Senior,66500,670,Paid Search,2025-08-13,1
C00002,Netherlands,35-44,Young Professional,46100,665,Organic Web,2025-01-23,1
C00003,France,45-54,Young Professional,56100,703,Organic Web,2021-01-16,0
C00004,Belgium,65+,Young Professional,37700,627,Referral,2019-07-18,1
C00005,Luxembourg,55-64,Affluent,77300,750,Branch,2024-12-26,1
C00006,Netherlands,45-54,Mass Market,53600,661,Paid Search,2020-06-12,1
C00007,Belgium,18-24,Mass Market,28600,687,Referral,2019-02-05,1
C00008,Belgium,25-34,Young Professional,41800,601,Organic Web,2023-04-25,1
C00009,Luxembourg,45-54,Senior,52600,708,Branch,2021-01-04,1
C00010,Netherlands,25-34,Family,40300,799,Organic Web,2026-06-06,0
C00011,Belgium,45-54,Mass Market,79800,697,Branch,2024-01-26,1
C00012,France,45-54,Family,45600,683,Branch,2022-02-20,0
C00013,Germany,45-54,Family,66000,685,Referral,2022-12-14,1
C00014,Luxembourg,25-34,Affluent,72600,663,Referral,2020-02-02,1
C00015,Netherlands,18-24,Affluent,44200,659,Referral,2022-03-28,1
C00016,Germany,45-54,Mass Market,77700,754,Organic Web,2023-07-02,1
C00017,Belgium,35-44,Mass Market,56200,641,Organic Web,2021-04-21,1
C00018,Belgium,65+,Affluent,77100,646,Branch,2023-01-20,1
C00019,Netherlands,45-54,Mass Market,63700,786,Partner,2019-10-13,1
C00020,Netherlands,25-34,Young Professional,40500,655,Referral,2021-03-05,0
C00021,Belgium,55-64,Young Professional,46100,627,Referral,2024-08-11,0
C00022,France,45-54,Family,60800,675,Paid Search,2020-03-21,0
C00023,Netherlands,25-34,Mass Market,50700,665,Referral,2020-01-19,0
C00024,Germany,35-44,Mass Market,60600,735,Paid Search,2026-02-22,1
C00025,Germany,35-44,Senior,59200,704,Paid Search,2025-10-23,1
C00026,Belgium,35-44,Affluent,141100,715,Paid Search,2021-07-24,1
C00027,Netherlands,55-64,Affluent,115000,707,Branch,2022-04-10,0
C00028,Germany,25-34,Affluent,63000,759,Paid Search,2020-07-02,0
C00029,Netherlands,25-34,Mass Market,40200,693,Referral,2019-02-21,1
C00030,France,25-34,Senior,43900,708,Referral,2025-12-14,1
C00031,France,45-54,Affluent,75000,674,Paid Search,2023-06-26,0
C00032,Belgium,45-54,Young Professional,53000,705,Paid Search,2023-02-17,1
C00033,Belgium,35-44,Family,62200,563,Organic Web,2021-07-17,1
C00034,Belgium,35-44,Family,59200,803,Organic Web,2021-09-18,0
C00035,Belgium,45-54,Family,65000,643,Referral,2021-02-02,0
C00036,Belgium,35-44,Family,52600,678,Organic Web,2020-02-27,1
C00037,Netherlands,55-64,Young Professional,62400,652,Organic Web,2022-05-31,1
C00038,France,25-34,Family,37300,571,Referral,2023-11-09,1
C00039,Germany,25-34,Family,43200,711,Partner,2019-10-30,1
C00040,Netherlands,65+,Family,42200,733,Referral,2019-03-18,1
C00041,Netherlands,55-64,Mass Market,61600,662,Organic Web,2021-03-31,0
C00042,Netherlands,55-64,Family,47200,740,Paid Search,2025-08-25,0
C00043,Belgium,35-44,Family,65500,770,Paid Search,2019-06-23,1
C00044,Netherlands,55-64,Family,32200,451,Organic Web,2025-09-01,0
C00045,Netherlands,35-44,Family,55000,683,Paid Search,2024-12-21,1
C00046,Germany,18-24,Senior,21400,767,Referral,2021-04-23,1
C00047,Belgium,25-34,Mass Market,38000,672,Referral,2021-12-28,1
C00048,France,18-24,Family,37400,577,Referral,2020-07-26,1
C00049,Belgium,25-34,Affluent,85400,734,Paid Search,2021-12-14,1
C00050,Germany,45-54,Young Professional,59400,820,Referral,2025-11-18,1
C00051,Belgium,25-34,Mass Market,52100,687,Paid Search,2025-04-16,1
C00052,Belgium,65+,Mass Market,50300,614,Paid Search,2019-12-28,0
C00053,Germany,35-44,Family,38800,577,Referral,2020-04-25,1
C00054,Netherlands,18-24,Senior,25300,757,Branch,2026-03-21,1
C00055,Belgium,35-44,Mass Market,58000,769,Paid Search,2019-04-29,1
C00056,Belgium,35-44,Family,52600,650,Paid Search,2023-11-30,1
C00057,Germany,65+,Affluent,75400,613,Partner,2020-06-30,1
C00058,Luxembourg,65+,Family,51200,756,Referral,2022-04-09,0
C00059,Germany,35-44,Family,65100,660,Paid Search,2026-06-01,1
C00060,France,35-44,Family,45500,587,Organic Web,2023-02-09,0
C00061,Belgium,45-54,Affluent,86300,705,Referral,2019-02-28,1
C00062,Netherlands,55-64,Senior,37600,649,Organic Web,2021-06-29,0
C00063,Netherlands,45-54,Mass Market,63300,637,Paid Search,2021-09-22,0
C00064,Belgium,35-44,Mass Market,64000,600,Paid Search,2025-08-28,1
C00065,Belgium,65+,Mass Market,41500,661,Organic Web,2020-05-27,1
C00066,Belgium,35-44,Mass Market,51800,747,Paid Search,2023-02-17,1
C00067,Germany,25-34,Mass Market,46800,603,Referral,2025-09-06,1
C00068,Netherlands,25-34,Senior,38000,627,Organic Web,2024-04-09,1
C00069,Germany,25-34,Mass Market,31300,644,Referral,2022-12-27,1
C00070,Netherlands,35-44,Senior,41200,672,Referral,2022-10-22,0
C00071,Luxembourg,65+,Mass Market,32600,606,Branch,2019-04-21,0
C00072,Netherlands,18-24,Affluent,66100,731,Paid Search,2026-04-14,1
C00073,Luxembourg,25-34,Mass Market,48600,622,Organic Web,2024-01-20,0
C00074,Belgium,25-34,Senior,52200,602,Paid Search,2022-08-19,1
C00075,Belgium,35-44,Mass Market,29000,748,Paid Search,2019-01-29,1
C00076,Belgium,35-44,Mass Market,55300,603,Partner,2021-02-09,0
C00077,Germany,65+,Family,42700,716,Referral,2025-11-27,1
C00078,France,35-44,Senior,72900,735,Referral,2026-01-13,1
C00079,Germany,45-54,Affluent,137000,733,Referral,2022-10-16,0
C00080,Belgium,18-24,Mass Market,22600,643,Referral,2019-10-18,1
C00081,Belgium,45-54,Family,42600,690,Branch,2026-06-27,0
C00082,France,35-44,Mass Market,39500,685,Partner,2022-12-31,1
C00083,Belgium,55-64,Mass Market,81700,777,Branch,2022-07-07,1
C00084,France,45-54,Senior,77500,620,Partner,2021-12-14,1
C00085,France,25-34,Affluent,43800,612,Referral,2023-06-22,1
C00086,France,45-54,Young Professional,36100,571,Organic Web,2022-07-18,1
C00087,Belgium,25-34,Mass Market,40000,766,Branch,2025-05-31,1
C00088,Netherlands,35-44,Mass Market,56800,728,Partner,2025-02-11,1
C00089,Germany,55-64,Family,53600,642,Branch,2022-05-25,1
C00090,France,25-34,Senior,27000,696,Partner,2023-06-30,1
C00091,Netherlands,55-64,Affluent,42400,670,Branch,2021-07-24,1
C00092,Belgium,35-44,Mass Market,46100,678,Branch,2026-01-14,1
C00093,Belgium,25-34,Mass Market,46900,674,Paid Search,2021-08-22,1
C00094,Netherlands,18-24,Mass Market,31200,805,Branch,2023-04-04,1
C00095,France,25-34,Affluent,71000,589,Referral,2021-12-28,1
C00096,Luxembourg,25-34,Affluent,59000,581,Referral,2019-11-25,1
C00097,Germany,25-34,Family,53500,626,Organic Web,2022-12-04,0
C00098,Belgium,25-34,Mass Market,32400,645,Referral,2025-02-23,1
C00099,Belgium,25-34,Family,30800,646,Partner,2019-11-14,0
C00100,Belgium,25-34,Young Professional,57200,665,Paid Search,2023-10-11,0
C00101,Netherlands,35-44,Young Professional,63500,693,Organic Web,2023-01-16,1
C00102,Belgium,45-54,Family,77700,748,Organic Web,2020-05-16,1
C00103,France,55-64,Mass Market,62400,803,Organic Web,2020-09-01,1
C00104,Belgium,35-44,Family,62100,770,Organic Web,2024-12-22,1
C00105,Belgium,25-34,Mass Market,50500,794,Partner,2023-12-28,1
C00106,Netherlands,55-64,Mass Market,65000,670,Organic Web,2025-09-13,1
C00107,France,45-54,Young Professional,40200,545,Paid Search,2019-01-07,0
C00108,France,25-34,Mass Market,43100,761,Referral,2022-04-14,1
C00109,Belgium,25-34,Mass Market,46500,722,Organic Web,2024-07-03,1
C00110,France,35-44,Family,42500,691,Partner,2024-03-27,1
C00111,Belgium,25-34,Mass Market,47700,639,Paid Search,2021-10-16,1
C00112,Germany,35-44,Family,43800,623,Partner,2022-04-13,1
C00113,Germany,65+,Family,44200,763,Referral,2022-06-19,1
C00114,Belgium,55-64,Mass Market,56100,665,Branch,2025-06-21,1
C00115,Belgium,25-34,Mass Market,43300,664,Referral,2024-10-12,1
C00116,Belgium,35-44,Family,62500,674,Organic Web,2022-12-05,1
C00117,Belgium,45-54,Mass Market,47100,680,Organic Web,2020-03-08,0
C00118,Belgium,55-64,Young Professional,48600,765,Branch,2020-06-05,1
C00119,Germany,55-64,Mass Market,58900,687,Organic Web,2019-01-11,0
C00120,Belgium,45-54,Family,54000,657,Partner,2019-06-23,0
C00121,Germany,18-24,Young Professional,28100,773,Organic Web,2020-06-21,1
C00122,Germany,35-44,Young Professional,49500,700,Referral,2021-02-10,1
C00123,France,55-64,Mass Market,58000,714,Branch,2022-10-11,0
C00124,Netherlands,25-34,Young Professional,45900,745,Referral,2019-04-29,1
C00125,Belgium,45-54,Young Professional,61700,678,Branch,2023-05-24,1
C00126,France,25-34,Young Professional,38800,815,Branch,2025-08-21,0
C00127,Belgium,45-54,Affluent,130500,663,Organic Web,2021-06-08,0
C00128,Belgium,65+,Affluent,66600,765,Referral,2026-05-14,0
C00129,Belgium,55-64,Family,70600,497,Referral,2024-07-15,1
C00130,Belgium,25-34,Mass Market,50800,598,Organic Web,2025-05-13,1
C00131,Luxembourg,25-34,Affluent,76400,707,Organic Web,2023-12-30,1
C00132,France,45-54,Young Professional,97700,814,Branch,2019-03-18,1
C00133,Germany,18-24,Affluent,46000,592,Organic Web,2023-11-09,1
C00134,France,65+,Affluent,95700,789,Paid Search,2025-10-29,1
C00135,Germany,25-34,Family,36500,670,Organic Web,2025-10-10,1
C00136,Netherlands,25-34,Young Professional,55600,598,Paid Search,2019-08-13,1
C00137,Belgium,25-34,Mass Market,51600,782,Partner,2025-03-15,0
C00138,France,25-34,Mass Market,36400,573,Paid Search,2025-12-12,1
C00139,France,18-24,Mass Market,16700,757,Referral,2024-02-13,1
C00140,Belgium,35-44,Mass Market,70900,658,Referral,2019-05-13,1
C00141,Luxembourg,25-34,Senior,40000,772,Organic Web,2020-12-06,1
C00142,Netherlands,35-44,Mass Market,51600,716,Partner,2019-11-29,1
C00143,Germany,18-24,Senior,29000,771,Branch,2019-10-03,1
C00144,France,45-54,Mass Market,68100,744,Branch,2024-02-13,0
C00145,France,65+,Family,29700,589,Organic Web,2019-04-29,1
C00146,Belgium,35-44,Affluent,108200,706,Branch,2020-04-20,0
C00147,Netherlands,35-44,Family,64100,699,Paid Search,2019-05-28,1
C00148,Netherlands,25-34,Young Professional,45100,557,Branch,2024-01-11,1
C00149,France,35-44,Mass Market,53200,733,Paid Search,2023-02-08,1
C00150,Germany,25-34,Affluent,87400,624,Branch,2023-06-21,1
C00151,Belgium,35-44,Senior,64200,764,Referral,2020-12-13,1
C00152,Germany,45-54,Family,58000,632,Partner,2026-07-10,1
C00153,Germany,35-44,Affluent,87200,739,Organic Web,2026-07-05,1
C00154,Netherlands,45-54,Young Professional,64400,774,Organic Web,2022-09-25,1
C00155,Belgium,35-44,Young Professional,62200,644,Organic Web,2020-08-06,1
C00156,France,55-64,Affluent,95600,745,Paid Search,2020-12-01,1
C00157,Belgium,35-44,Family,43900,645,Referral,2025-09-09,1
C00158,Germany,18-24,Mass Market,29500,724,Organic Web,2025-12-02,1
C00159,Belgium,45-54,Mass Market,81600,694,Organic Web,2023-06-30,1
C00160,Netherlands,25-34,Family,49200,836,Organic Web,2021-02-05,1
C00161,Belgium,45-54,Affluent,80800,817,Branch,2023-05-12,0
C00162,France,25-34,Family,60200,773,Branch,2019-09-22,1
