loan_id,customer_id,origination_date,original_principal_eur,interest_rate_pct,term_months,monthly_payment_eur,outstanding_balance_eur,days_past_due,loan_status,default_flag,customer_risk_score
L00001,C01277,2026-04-10,36200,8.09,48,885.28,33719.63,0,Current,0,626
L00002,C00918,2025-07-22,21000,9.37,48,526.28,15653.92,0,Current,0,699
L00003,C02323,2026-03-03,14000,9.84,72,258.23,13138.87,0,Current,0,531
L00004,C02194,2022-08-20,14300,3.71,36,420.35,2391.87,0,Current,0,731
L00005,C00787,2023-11-19,2700,6.15,48,63.6,820.47,0,Current,0,768
L00006,C01916,2024-05-22,16400,9.18,72,297.09,11570.13,0,Current,0,661
L00007,C01091,2026-07-11,21200,7.29,36,657.41,20603.58,0,Current,0,691
L00008,C02491,2021-11-19,41600,6.44,36,1273.86,6115.8,0,Current,0,640
L00009,C00969,2021-08-19,13400,9.02,36,426.24,948.07,0,Current,0,602
L00010,C01688,2022-05-26,7300,7.49,72,126.18,2675.61,0,Current,0,699
L00011,C01113,2024-04-17,5100,6.99,36,157.45,1533.63,0,Current,0,663
L00012,C00024,2026-06-18,9800,8.76,36,310.54,9326.11,0,Current,0,735
L00013,C02435,2025-10-30,20400,8.21,60,415.69,17177.07,0,Current,0,656
L00014,C01293,2024-04-15,6300,8.95,36,200.19,2264.88,0,Current,0,620
L00015,C01539,2026-07-26,43500,4.78,36,1299.44,42438.05,0,Current,0,717
L00016,C01302,2024-11-08,23500,8.66,48,581.01,15232.86,0,Current,0,585
L00017,C01467,2023-06-16,22100,7.91,48,538.59,5577.51,0,Current,0,583
L00018,C00976,2021-06-30,6500,6.62,24,289.9,1300.27,0,Current,0,655
L00019,C02245,2025-03-08,35200,9.15,72,637.12,27846.2,0,Current,0,683
L00020,C00319,2022-04-11,14300,6.77,48,340.91,2478.28,0,Current,0,657
L00021,C00466,2022-09-18,11500,8.06,24,520.43,345.0,0,Current,0,624
L00022,C00875,2025-12-20,18100,6.9,24,809.56,13370.58,0,Current,0,681
L00023,C02297,2026-07-28,23800,7.78,72,414.74,23516.52,0,Current,0,737
L00024,C00571,2025-07-11,10600,6.03,60,205.08,8325.24,0,Current,0,643
L00025,C01414,2026-06-13,6200,7.45,60,124.09,6003.41,0,Current,0,788
L00026,C01929,2026-07-31,2800,4.48,48,63.82,2751.38,0,Current,0,780
L00027,C01708,2026-05-18,34900,5.52,24,1539.25,31036.86,0,Current,0,702
L00028,C01335,2024-10-08,9800,6.27,24,435.54,1136.33,0,Current,0,728
L00029,C00435,2022-09-15,9100,5.81,72,150.0,3528.78,0,Current,0,773
L00030,C02387,2022-01-07,30000,9.18,72,543.45,8482.69,0,Current,0,669
L00031,C01825,2024-03-08,21900,5.24,72,355.14,13037.47,0,Current,0,677
L00032,C00002,2025-05-13,18800,9.64,24,864.4,9508.3,0,Current,0,665
L00033,C01460,2022-03-26,26900,3.5,36,788.23,3466.24,0,Current,0,844
L00034,C01757,2023-01-11,31400,6.58,24,1399.89,5556.19,0,Current,0,710
L00035,C02396,2025-10-08,23100,3.75,36,679.44,16740.92,0,Current,0,737
L00036,C02369,2025-10-04,37400,3.5,24,1615.78,22266.58,0,Current,0,782
L00037,C02071,2026-02-25,12300,4.46,36,365.67,10595.0,0,Current,0,763
L00038,C00128,2026-07-30,9800,7.68,72,170.3,9668.44,0,Current,0,765
L00039,C01687,2024-05-24,7800,8.97,24,356.23,1272.24,0,Current,0,595
L00040,C01804,2024-03-18,4800,5.47,24,211.59,542.48,0,Current,0,774
L00041,C01427,2023-09-13,20800,8.99,36,661.34,2374.41,0,Current,0,695
L00042,C01131,2021-06-15,19900,6.75,36,612.18,2766.7,0,Current,0,772
L00043,C00249,2022-09-19,19100,7.7,24,861.23,3052.84,0,Current,0,636
L00044,C02006,2026-04-28,14200,6.15,72,236.34,13524.69,0,Current,0,727
L00045,C02258,2025-04-30,27800,9.11,72,502.63,21554.96,0,Current,0,633
L00046,C01333,2026-07-10,7800,8.23,36,245.25,7628.53,0,Current,0,618
L00047,C01743,2025-07-26,39100,10.52,72,734.66,33438.65,0,Current,0,588
L00048,C00703,2022-07-07,14300,5.54,36,432.06,821.9,0,Current,0,685
L00049,C01764,2025-04-19,11000,8.21,36,345.77,6497.66,0,Current,0,672
L00050,C01709,2024-08-29,27000,8.52,24,1227.55,1497.96,0,Current,0,760
L00051,C02037,2023-06-13,15900,8.75,72,284.64,8527.2,15,Late,0,564
L00052,C02406,2026-07-15,24100,9.4,60,504.97,23714.17,0,Current,0,661
L00053,C02281,2026-02-01,27300,9.98,60,579.78,24788.03,0,Current,0,615
L00054,C01009,2023-03-15,8900,7.55,72,154.1,4737.63,0,Current,0,619
L00055,C00954,2023-12-25,14500,4.42,72,229.64,8696.2,0,Current,0,836
L00056,C00659,2023-05-21,17000,4.8,24,744.29,510.0,0,Current,0,850
L00057,C02214,2025-01-04,25900,5.78,60,498.07,18211.56,0,Current,0,658
L00058,C00589,2025-11-16,9400,7.04,36,290.42,7141.92,0,Current,0,807
L00059,C02338,2022-10-06,22100,4.86,60,415.64,7459.82,0,Current,0,737
L00060,C01585,2024-03-02,15700,4.39,48,357.24,6490.32,0,Current,0,839
L00061,C00588,2025-11-09,15600,3.5,36,457.11,12493.42,0,Current,0,698
L00062,C00479,2026-07-25,7000,7.41,36,217.45,6842.46,0,Current,0,727
L00063,C00887,2024-11-12,38900,7.27,72,668.26,29480.92,0,Current,0,752
L00064,C01453,2026-04-18,29400,9.39,60,615.88,27790.89,0,Current,0,672
L00065,C01848,2025-02-20,30600,7.05,48,733.47,21259.4,0,Current,0,596
L00066,C01386,2026-03-19,11200,8.29,24,508.03,9191.9,0,Current,0,666
L00067,C02307,2025-12-30,16200,8.74,72,289.93,14532.15,0,Current,0,563
L00068,C01035,2025-09-04,8900,5.68,48,207.71,7306.52,0,Current,0,749
L00069,C02397,2025-10-13,18300,7.1,24,820.17,11609.72,0,Current,0,579
L00070,C01562,2025-07-31,7900,8.87,72,141.89,6589.72,0,Current,0,674
L00071,C02116,2024-11-05,3500,9.53,36,112.16,1794.76,0,Current,0,631
L00072,C01906,2026-06-28,23300,10.65,48,598.25,22339.46,30,Late,0,607
L00073,C01670,2021-08-31,8700,6.3,36,265.86,968.78,0,Current,0,711
L00074,C00481,2025-06-30,19100,8.34,48,469.34,14203.49,0,Current,0,677
L00075,C00207,2026-01-13,16400,8.15,48,401.53,14335.6,0,Current,0,625
L00076,C01124,2025-06-24,24200,7.35,36,751.1,15824.82,0,Current,0,708
L00077,C01975,2024-10-19,31400,5.32,24,1382.07,3145.37,0,Current,0,752
L00078,C00431,2024-12-11,11200,7.57,36,348.75,6127.08,0,Current,0,676
L00079,C00475,2025-07-28,19300,8.61,24,878.27,9810.48,0,Current,0,681
L00080,C00003,2022-05-14,39700,6.24,60,771.95,10912.69,0,Current,0,703
L00081,C00346,2025-05-26,21300,6.66,24,950.38,7978.21,0,Current,0,667
L00082,C02315,2023-07-18,24800,8.1,60,504.04,12188.35,0,Current,0,740
L00083,C02060,2026-01-29,27600,3.5,60,502.09,24666.37,0,Current,0,769
L00084,C01531,2024-09-19,38200,6.26,48,901.69,21718.12,0,Current,0,727
L00085,C02112,2023-01-24,30900,5.32,24,1360.06,2079.87,0,Current,0,706
L00086,C02189,2023-05-18,31200,7.31,36,967.79,1267.24,0,Current,0,741
L00087,C01701,2024-05-16,42300,8.94,72,761.22,28238.31,0,Current,0,647
L00088,C01313,2024-06-06,23500,6.91,48,561.76,12435.06,90,Default,1,610
L00089,C02417,2026-04-10,32400,7.28,48,780.07,30277.77,0,Current,0,615
L00090,C01152,2026-03-18,12800,7.61,36,398.81,11133.8,0,Current,0,724
L00091,C01219,2024-04-15,9600,8.68,60,197.79,6005.21,0,Current,0,666
L00092,C01014,2025-01-21,13300,6.9,60,262.73,9809.6,0,Current,0,646
L00093,C00450,2025-01-01,35400,7.74,24,1596.85,13124.75,0,Current,0,631
L00094,C01887,2026-01-31,27000,9.5,24,1239.69,20420.41,0,Current,0,621
L00095,C01037,2021-09-27,14300,7.32,72,246.0,2556.37,0,Current,0,681
L00096,C01134,2024-08-19,19600,5.93,72,324.18,14075.6,0,Current,0,787
L00097,C00407,2025-12-23,28800,10.71,72,543.91,25978.17,0,Current,0,573
L00098,C01732,2025-04-08,10500,3.67,36,308.46,6148.07,0,Current,0,843
L00099,C01006,2025-12-01,4500,9.95,24,207.55,3225.62,0,Current,0,716
L00100,C01089,2024-11-07,2900,5.4,24,127.75,628.43,0,Current,0,699
L00101,C00280,2026-07-12,5500,8.7,60,113.37,5407.91,0,Current,0,578
L00102,C00653,2023-11-20,17800,4.7,36,531.09,4630.48,0,Current,0,768
L00103,C00171,2024-07-12,10700,5.81,24,473.31,899.13,0,Current,0,687
L00104,C00309,2026-06-03,7700,6.72,60,151.45,7452.62,0,Current,0,633
L00105,C00577,2025-09-21,30600,4.83,60,575.08,25071.23,0,Current,0,755
L00106,C01280,2024-11-09,16600,9.62,48,418.0,9416.44,0,Current,0,519
L00107,C01847,2023-08-19,21700,5.7,48,506.65,8348.91,0,Current,0,691
L00108,C00883,2024-10-20,3200,7.48,24,143.97,315.78,0,Current,0,686
L00109,C00463,2023-08-15,22500,6.6,60,441.29,10602.7,0,Current,0,651
L00110,C01740,2024-06-12,37800,9.63,60,796.27,23732.97,0,Current,0,773
L00111,C00290,2025-08-25,9000,6.75,24,401.93,4500.98,0,Current,0,697
L00112,C01165,2022-05-19,9700,7.36,48,233.9,1951.71,0,Current,0,664
L00113,C00399,2025-08-28,14200,5.46,24,625.9,7339.07,0,Current,0,752
L00114,C02327,2023-03-10,18600,7.93,36,582.26,558.0,0,Current,0,725
L00115,C01926,2024-03-06,23800,5.78,36,721.67,8128.82,0,Current,0,729
L00116,C00049,2023-05-12,22900,8.19,36,719.61,687.0,0,Current,0,734
L00117,C02376,2024-04-18,11200,8.29,60,228.65,6569.89,0,Current,0,691
L00118,C01681,2022-12-31,21000,10.62,24,975.06,630.0,0,Current,0,635
L00119,C01503,2021-11-01,4100,6.62,36,125.88,543.87,0,Current,0,680
L00120,C00676,2022-11-03,19800,7.56,60,397.32,7742.36,0,Current,0,662
L00121,C01590,2025-11-28,13100,7.04,24,586.76,8209.82,0,Current,0,738
L00122,C02075,2025-09-15,19800,6.7,24,883.81,11411.22,0,Current,0,751
L00123,C00617,2024-06-05,39800,5.35,48,922.89,19226.56,0,Current,0,691
L00124,C00219,2021-05-12,7500,4.38,48,170.62,571.46,0,Current,0,745
L00125,C00144,2024-10-06,18600,6.5,72,312.66,12854.61,0,Current,0,744
L00126,C00632,2024-09-29,15100,4.57,36,449.65,6998.88,0,Current,0,834
L00127,C01207,2026-03-06,26700,5.88,72,440.99,25205.34,0,Current,0,795
L00128,C00685,2025-08-09,12900,3.5,36,378.0,8740.42,0,Current,0,764
L00129,C00266,2024-07-29,24500,7.74,60,493.73,16454.99,0,Current,0,722
L00130,C00525,2024-10-07,8200,8.48,24,372.66,1084.47,0,Current,0,666
L00131,C02146,2022-09-08,5300,9.14,24,242.47,290.74,0,Current,0,705
L00132,C01840,2026-02-23,7400,7.64,48,179.41,6573.14,0,Current,0,590
L00133,C00160,2023-02-03,34800,3.5,36,1019.71,3128.54,0,Current,0,836
L00134,C01948,2022-01-19,17300,7.85,48,421.13,2718.78,0,Current,0,710
L00135,C00261,2024-11-14,17600,5.94,60,339.77,11373.93,0,Current,0,815
L00136,C00330,2022-11-20,39900,6.12,72,663.52,15348.71,0,Current,0,672
L00137,C01762,2025-03-21,7100,11.01,24,330.95,3006.22,0,Current,0,538
L00138,C00157,2025-11-16,4300,6.19,60,83.51,3710.98,0,Current,0,645
L00139,C01205,2026-06-19,41900,4.75,24,1833.52,38386.09,0,Current,0,739
L00140,C02441,2021-11-04,11700,8.6,36,369.88,351.0,0,Current,0,613
L00141,C02299,2022-09-15,3200,6.7,72,54.1,1267.72,0,Current,0,632
L00142,C01477,2025-09-19,4400,6.69,48,104.73,3590.31,0,Current,0,701
L00143,C02393,2023-06-21,18700,7.5,24,841.49,2960.25,0,Current,0,616
L00144,C01317,2024-08-25,19600,9.04,60,407.24,13126.92,0,Current,0,630
L00145,C00185,2022-07-08,12300,5.11,36,369.25,2490.0,0,Current,0,710
L00146,C00166,2025-08-11,21700,9.18,60,452.35,17437.65,0,Current,0,653
L00147,C00863,2025-03-28,13200,6.9,72,224.41,10320.0,0,Current,0,814
L00148,C02070,2026-02-22,31100,9.74,72,572.08,28641.87,0,Current,0,542
L00149,C00950,2024-04-17,30500,3.5,60,554.85,17924.19,0,Current,0,785
L00150,C00275,2026-02-08,18800,8.06,24,850.79,14561.76,0,Current,0,626
L00151,C02096,2025-05-19,13200,8.51,36,416.75,8225.67,0,Current,0,728
L00152,C00258,2025-07-06,13100,7.99,36,410.45,8931.07,0,Current,0,555
L00153,C00334,2026-07-29,6200,6.63,60,121.69,6100.92,0,Current,0,690
L00154,C01793,2022-09-04,20500,4.45,72,324.95,7459.66,0,Current,0,785
L00155,C01211,2026-07-19,3800,10.66,36,123.8,3707.52,0,Current,0,737
L00156,C02240,2026-02-07,20900,6.43,60,408.25,18851.85,0,Current,0,623
L00157,C00458,2026-06-09,34100,6.83,48,813.88,32795.1,0,Current,0,737
L00158,C01038,2022-06-23,11300,8.09,48,276.34,608.46,0,Current,0,651
L00159,C01326,2024-02-02,17500,8.34,72,309.75,11241.09,0,Current,0,754
L00160,C01218,2024-12-10,5900,7.45,24,265.36,1232.07,0,Current,0,676
L00161,C00414,2026-03-28,15500,7.06,36,479.02,13374.66,0,Current,0,639
L00162,C01554,2026-02-08,15200,3.76,60,278.29,13941.67,0,Current,0,779
L00163,C00662,2024-03-29,30000,4.76,48,687.62,13459.45,0,Current,0,669
L00164,C00299,2025-10-04,11100,9.24,24,508.32,6634.61,0,Current,0,602
L00165,C01548,2026-07-25,10300,3.63,36,302.4,10032.58,0,Current,0,690
L00166,C01500,2021-06-03,3200,6.36,36,97.87,668.19,0,Current,0,709
L00167,C01456,2026-05-13,31500,3.5,48,704.21,29804.48,0,Current,0,756
L00168,C01506,2024-12-21,18900,6.5,36,579.27,8203.07,0,Current,0,649
L00169,C00141,2024-09-21,14700,5.35,72,239.14,10063.93,0,Current,0,772
L00170,C00461,2026-02-27,11800,9.37,60,247.07,10832.35,0,Current,0,708
L00171,C00323,2026-05-01,6300,7.67,60,126.75,6053.79,0,Current,0,589
L00172,C00174,2026-04-02,18900,7.85,24,853.5,15997.79,0,Current,0,655
L00173,C00028,2024-09-28,8800,7.13,72,150.58,5982.07,0,Current,0,759
L00174,C00227,2026-07-04,28100,7.13,72,480.83,27732.05,0,Current,0,613
L00175,C02266,2026-03-03,15300,6.58,48,363.4,13978.19,0,Current,0,720
L00176,C01186,2022-12-08,24200,5.52,24,1067.33,4083.12,0,Current,0,726
L00177,C01249,2025-12-17,35400,11.0,24,1649.92,24662.28,0,Current,0,623
L00178,C00759,2024-11-15,19100,5.44,36,576.22,9269.01,0,Current,0,742
L00179,C01297,2026-07-07,29500,8.25,60,601.69,29108.3,0,Current,0,666
L00180,C00083,2025-11-08,16300,4.04,48,368.33,13409.41,0,Current,0,777
L00181,C01677,2024-01-14,10200,10.62,36,332.1,1659.45,0,Current,0,652
