transaction_id,account_id,customer_id,transaction_datetime,transaction_type,category,amount_eur,merchant_country,channel,is_international,is_suspicious
T0008027,A001921,C01180,2025-11-18 02:38:37,Transfer In,Transfer,116.47,Belgium,Mobile App,0,0
T0009179,A002558,C01569,2025-09-02 05:07:03,Transfer In,Transfer,143.8,Belgium,Bank Transfer,0,0
T0003142,A003092,C01894,2026-06-29 19:25:49,Card Purchase,Entertainment,-59.81,France,Card Present,0,0
T0008310,A001420,C00872,2025-06-06 02:26:19,Direct Debit,Subscriptions,-13.09,Belgium,Direct Debit,0,0
T0008319,A001238,C00755,2026-03-16 02:02:38,Card Purchase,Groceries,-52.37,Belgium,Online,0,0
T0001757,A001907,C01172,2025-10-23 16:21:34,Transfer Out,Transfer,-745.63,France,Bank Transfer,0,0
T0004182,A000257,C00161,2025-12-01 20:40:34,Card Purchase,Groceries,-22.95,Belgium,Card Present,0,0
T0006140,A000567,C00350,2026-08-27 03:53:26,Transfer Out,Transfer,-528.02,Belgium,Mobile App,0,0
T0006232,A004000,C02445,2026-08-03 02:16:43,Transfer Out,Transfer,-594.22,France,Mobile App,0,0
T0009607,A001391,C00853,2024-05-20 17:41:37,Card Purchase,E-commerce,-71.2,Germany,Card Present,0,0
T0009487,A003696,C02259,2025-07-07 14:59:07,Transfer Out,Transfer,-278.53,Netherlands,Mobile App,0,0
T0003258,A003528,C02158,2025-09-09 15:07:23,Cash Withdrawal,Cash,-200,Netherlands,ATM,0,0
T0003713,A000131,C00079,2024-04-09 19:00:06,Card Purchase,Travel,-410.91,Germany,Card Present,0,0
T0002064,A000690,C00423,2026-05-16 17:53:09,Transfer In,Transfer,157.8,Belgium,Bank Transfer,0,0
T0008919,A000892,C00546,2025-04-27 21:42:13,Card Purchase,Dining,-19.62,Belgium,Card Present,0,0
T0009636,A003667,C02243,2025-11-25 20:23:17,Transfer In,Transfer,2011.55,Netherlands,Bank Transfer,0,0
T0009886,A001848,C01138,2026-08-16 18:58:36,Direct Debit,Housing,-801.41,Belgium,Direct Debit,0,0
T0009162,A003749,C02290,2025-05-20 15:28:33,Card Purchase,Groceries,-67.75,Belgium,Online,0,0
T0007184,A002861,C01747,2024-03-23 03:38:26,Transfer In,Transfer,173.36,France,Bank Transfer,0,0
T0003330,A003025,C01853,2025-11-09 08:06:57,Transfer Out,Transfer,-515.22,France,Bank Transfer,0,0
T0004986,A000614,C00378,2024-12-20 00:39:53,Card Purchase,Healthcare,-80.69,Belgium,Online,0,0
T0002791,A000841,C00514,2026-07-31 21:45:05,Direct Debit,Housing,-788.18,Belgium,Direct Debit,0,0
T0006478,A002238,C01375,2025-06-02 20:40:01,Transfer In,Transfer,257.82,Netherlands,Bank Transfer,0,0
T0007143,A000192,C00119,2024-02-25 03:33:45,Transfer Out,Transfer,-467.89,Germany,Mobile App,0,0
T0009728,A000494,C00308,2025-11-30 12:53:45,Transfer In,Transfer,616.26,Belgium,Mobile App,0,0
